"complemento.valorTotal";"emit.cnpj";"emit.xFant";"emit.enderEmit.fone";"emit.enderEmit.xBairro";"emit.enderEmit.xLgr";"emit.enderEmit.xMun";"emit.enderEmit.xPais";"emit.enderEmit.uf";"ide.dhEmi";"ide.natOp";"infAdic.infCpl";"total.icmsTot.vDesc";"total.icmsTot.vFrete";"total.icmsTot.vOutro";"total.icmsTot.vProd";"total.icmsTot.vSeg";"total.icmsTot.vTotTrib";"total.icmsTot.vbc";"total.icmsTot.vbcst";"total.icmsTot.vcofins";"total.icmsTot.vicms";"total.icmsTot.vicmsDeson";"total.icmsTot.vii";"total.icmsTot.vipi";"total.icmsTot.vnf";"total.icmsTot.vpis";"total.icmsTot.vst";"id";"nItem";"prod.indTot";"prod.qCom";"prod.uCom";"prod.vProd";"prod.vUnCom";"prod.xProd"
24,9;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:01:54;"VENDA";"Mesa 2";0;0;0;24,9;0;2,53;0;0;0;0;0;0;0;24,9;0;0;"1";"1";"1";1;"UN";3,5;3,5;"AGUA"
24,9;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:01:54;"VENDA";"Mesa 2";0;0;0;24,9;0;2,53;0;0;0;0;0;0;0;24,9;0;0;"1";"2";"1";0,312;"KG";21,4;68,6;"BUFFET"
92,53;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:03:52;"VENDA";"Mesa 1";0;0;0;92,55;0;7,71;0;0;0;0;0;0;0;92,55;0;0;"2";"1";"1";1,218;"KG";83,55;68,6;"BUFFET"
92,53;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:03:52;"VENDA";"Mesa 1";0;0;0;92,55;0;7,71;0;0;0;0;0;0;0;92,55;0;0;"2";"2";"1";2;"UN";9;4,5;"REFRIGERANTE"
57,86;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:16:40;"VENDA";"Mesa 5";0;0;0;57,87;0;2,43;0;0;0;0;0;0;0;57,87;0;0;"3";"1";"1";1;"UN";4,5;4,5;"SUCO"
57,86;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:16:40;"VENDA";"Mesa 5";0;0;0;57,87;0;2,43;0;0;0;0;0;0;0;57,87;0;0;"3";"2";"1";0,778;"KG";53,37;68,6;"BUFFET"
34,97;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:17:50;"VENDA";"Mesa 3";0;0;0;34,98;0;1,47;0;0;0;0;0;0;0;34,98;0;0;"4";"1";"1";0,51;"KG";34,98;68,6;"BUFFET"
46,23;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:18:35;"VENDA";"Mesa 4";0;0;0;46,23;0;1,94;0;0;0;0;0;0;0;46,23;0;0;"5";"1";"1";0,674;"KG";46,23;68,6;"BUFFET"
32,76;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:20:00;"VENDA";"Mesa 6";0;0;0;32,76;0;3,29;0;0;0;0;0;0;0;32,76;0;0;"6";"1";"1";0,412;"KG";28,26;68,6;"BUFFET"
32,76;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:20:00;"VENDA";"Mesa 6";0;0;0;32,76;0;3,29;0;0;0;0;0;0;0;32,76;0;0;"6";"2";"1";1;"UN";4,5;4,5;"REFRIGERANTE"
